	Gene stable ID	Gene name
0	ENSG00000284532	MIR4723
1	ENSG00000238933	RF00019
2	ENSG00000275693	RF02116
3	ENSG00000275451	MIR6085
4	ENSG00000222870	RNU6-1328P
5	ENSG00000252023	RNU6-581P
6	ENSG00000211579	MIR759
7	ENSG00000206663	RF00019
8	ENSG00000242893	RN7SL413P
9	ENSG00000241074	RN7SL813P
10	ENSG00000264763	MIR4295
11	ENSG00000283867	MIR1307
12	ENSG00000276872	AC171558.4
13	ENSG00000207975	MIR181B1
14	ENSG00000252486	RF00019
15	ENSG00000200336	RNA5SP333
16	ENSG00000238764	RF01210
17	ENSG00000201724	RF00019
18	ENSG00000238875	RN7SKP210
19	ENSG00000275424	RF02220
20	ENSG00000207024	RF00019
21	ENSG00000239504	RN7SL583P
22	ENSG00000264881	MIR1273D
23	ENSG00000201884	RF00019
24	ENSG00000212580	RF00072
25	ENSG00000277460	RF02198
26	ENSG00000276730	RF02275
27	ENSG00000201026	RF00019
28	ENSG00000202174	RNA5-8SP5
29	ENSG00000252039	RNU6-287P
30	ENSG00000200661	SNORD116-10
31	ENSG00000223198	RNU2-22P
32	ENSG00000252759	RF00019
33	ENSG00000274234	RN7SL818P
34	ENSG00000222220	RN7SKP129
35	ENSG00000275568	ARHGAP11A
38	ENSG00000207340	RNVU1-1
39	ENSG00000200867	RN7SKP36
40	ENSG00000277344	RNU1-6P
41	ENSG00000252950	RNA5SP490
42	ENSG00000244389	RN7SL242P
43	ENSG00000199246	RNU6-896P
44	ENSG00000275049	AC011295.1
45	ENSG00000251976	RN7SKP141
46	ENSG00000276804	NLRP7
48	ENSG00000264998	RF00003
49	ENSG00000276565	AP006285.3
50	ENSG00000252079	RNU6-327P
51	ENSG00000238419	RNU7-186P
52	ENSG00000265753	RN7SL444P
53	ENSG00000199440	RF00019
54	ENSG00000253085	RF00564
55	ENSG00000252882	RNU6-1137P
56	ENSG00000201136	RNU6-353P
57	ENSG00000199390	SNORD114-7
58	ENSG00000222990	RNU4-22P
59	ENSG00000201633	RF00019
60	ENSG00000243871	RN7SL487P
61	ENSG00000251958	RNU6-1102P
62	ENSG00000201882	RF00493
63	ENSG00000222931	RN7SKP205
64	ENSG00000212354	RNU6-1242P
65	ENSG00000199906	RNU5B-2P
66	ENSG00000266503	RN7SL162P
67	ENSG00000201326	SNORD115-22
68	ENSG00000199226	RNU6-50P
69	ENSG00000274500	RF02150
70	ENSG00000251834	RNU6-319P
71	ENSG00000265074	RF00003
72	ENSG00000274430	RF02124
73	ENSG00000201938	RF00019
74	ENSG00000239710	RN7SL692P
75	ENSG00000201403	SNORD14B
76	ENSG00000207334	RNU6-12P
77	ENSG00000276479	MIR548AZ
78	ENSG00000222862	RNU6-1086P
79	ENSG00000278587	RF02271
80	ENSG00000263974	RN7SL121P
81	ENSG00000200325	RF00019
82	ENSG00000266206	MIR3926-1
83	ENSG00000281024	SURF2
86	ENSG00000283386	MIR4659B
87	ENSG00000207032	RF00019
88	ENSG00000266668	MIR5692C2
89	ENSG00000275646	RF02174
90	ENSG00000238382	RNU6-1211P
91	ENSG00000278695	GSTT2B
92	ENSG00000199392	RF00402
93	ENSG00000223138	RNA5SP450
94	ENSG00000274917	RNA5-8SN2
95	ENSG00000207217	SNORA80D
96	ENSG00000221461	RF00012
